subject,correct_count,total,accuracy
Psychiatry,2,3,0.6666666666666666
Anaesthesia,6,11,0.5454545454545454
Social & Preventive Medicine,11,26,0.4230769230769231
Biochemistry,18,48,0.375
Physiology,16,43,0.37209302325581395
Anatomy,18,49,0.3673469387755102
Gynaecology & Obstetrics,18,53,0.33962264150943394
Pediatrics,20,59,0.3389830508474576
Surgery,30,89,0.33707865168539325
Skin,1,3,0.3333333333333333
Dental,98,307,0.31921824104234525
ENT,5,16,0.3125
Medicine,22,73,0.3013698630136986
Pathology,19,68,0.27941176470588236
Pharmacology,10,57,0.17543859649122806
Radiology,3,18,0.16666666666666666
Microbiology,5,34,0.14705882352941177
Forensic Medicine,3,21,0.14285714285714285
Ophthalmology,2,19,0.10526315789473684
Orthopaedics,0,3,0.0
